station_name,latitude,longitude
Borehamwood Police Station,51.6596868360957,-0.268392829323725
Colindale Police Station,51.59729756111404,-0.24112300802986414
Edmonton Police Station,51.625293230612336,-0.056666478292456766
Tottenham Police Station,51.59131852716854,-0.0692771867963781
Finsbury Park,51.56547162621726,-0.10222046380199362
Kentish Town Police Station,51.55106148373017,-0.1414170663662963
Wembley Police Station,51.55291638945518,-0.2962704425684639
Harrow Police Station,51.62799760713012,-0.30176360717449185
Paddington Police Station,51.52578564409586,-0.1631896372151245
Euston Police Station,51.5332726379573,-0.1269167956983586
Stoke Newington Police Station,51.55853280472514,-0.07366095481586037
Oxhey Police Station,51.62650571851071,-0.3879376176438486
